FY,Customer,Breakout,Category,Amount
2001,Navy,Other,Products,1906042190.0
2001,Navy,PAMS,Services,7800244013.0
2001,Navy,Adv. Component Dev. & Prototypes (6.4),R&D,1017344023.0
2001,Navy,Adv. Technology Dev. (6.3),R&D,2465860646.0
2001,Navy,Applied Research (6.2),R&D,909074231.0
2001,Navy,Basic Research (6.1),R&D,892632468.0
2001,Navy,Operation of Government R&D Facilities,R&D,621942018.0
2001,Navy,Operational Systems Dev. (6.7),R&D,665984566.0
2001,Navy,System Dev. & Demonstration (6.5),R&D,1572493342.0
2001,Navy,Ships,Products,7733519418.0
2001,Other DoD,Aircraft,Products,73781720.0
2001,Other DoD,Clothing & Subsistence,Products,20530271.0
2001,Other DoD,Electronics & Communications,Products,640460677.0
2001,Other DoD,Engines & Power Plants,Products,3385327.0
2001,Other DoD,ERS,Services,324168325.0
2001,Other DoD,FRS&C,Services,489885964.0
2001,Other DoD,Ground Vehicles,Products,3427316.0
2001,Other DoD,ICT,Services,3327235855.0
2001,Other DoD,Launchers & Munitions,Products,18933902.0
2001,Other DoD,MED,Services,3234574896.0
2001,Other DoD,Missiles & Space,Products,362962.0
2001,Other DoD,Other,Products,480371125.0
2001,Other DoD,PAMS,Services,916743993.0
2001,Other DoD,Adv. Component Dev. & Prototypes (6.4),R&D,7832310.0
2001,Other DoD,Adv. Technology Dev. (6.3),R&D,75700532.0
2001,Other DoD,Applied Research (6.2),R&D,447947664.0
2001,Other DoD,Basic Research (6.1),R&D,148238713.0
2001,Other DoD,Operation of Government R&D Facilities,R&D,1602180.0
2001,Other DoD,Operational Systems Dev. (6.7),R&D,14634757.0
2001,Other DoD,System Dev. & Demonstration (6.5),R&D,59588585.0
2001,Other DoD,Ships,Products,31258890.0
2002,Air Force,Aircraft,Products,17640889848.0
2002,Air Force,Clothing & Subsistence,Products,114946572.0
2002,Air Force,Electronics & Communications,Products,3589702898.0
2002,Air Force,Engines & Power Plants,Products,3257489771.0
2002,Air Force,ERS,Services,3807893525.0
2002,Air Force,FRS&C,Services,4598387683.0
2002,Air Force,Fuels,Products,8549633.0
2002,Air Force,Ground Vehicles,Products,113899563.0
2002,Air Force,ICT,Services,2448454209.0
2002,Air Force,Launchers & Munitions,Products,1720357448.0
2002,Air Force,MED,Services,61219408.0
2002,Air Force,Missiles & Space,Products,1887912190.0
2002,Air Force,Other,Products,3552761899.0
2002,Air Force,PAMS,Services,9646300572.0
2002,Air Force,Adv. Component Dev. & Prototypes (6.4),R&D,2397103049.0
2002,Air Force,Adv. Technology Dev. (6.3),R&D,2255446893.0
2002,Air Force,Applied Research (6.2),R&D,1694861019.0
2002,Air Force,Basic Research (6.1),R&D,290525703.0
2002,Air Force,Operation of Government R&D Facilities,R&D,96262115.0
2002,Air Force,Operational Systems Dev. (6.7),R&D,130686031.0
2002,Air Force,System Dev. & Demonstration (6.5),R&D,4886732635.0
2002,Air Force,Ships,Products,4558390.0
2002,Army,Aircraft,Products,3680839397.0
2002,Army,Clothing & Subsistence,Products,592606667.0
2002,Army,Electronics & Communications,Products,3958152005.0
2002,Army,Engines & Power Plants,Products,1520226343.0
2002,Army,ERS,Services,2031710544.0
2002,Army,FRS&C,Services,15840165888.0
2002,Army,Fuels,Products,29427841.0
2002,Army,Ground Vehicles,Products,4364506712.0
2002,Army,ICT,Services,2485294929.0
2002,Army,Launchers & Munitions,Products,2716510477.0
2002,Army,MED,Services,1252895560.0
2002,Army,Missiles & Space,Products,3156510090.0
2002,Army,Other,Products,2494019570.0
2002,Army,PAMS,Services,9872558914.0
2002,Army,Adv. Component Dev. & Prototypes (6.4),R&D,1901325905.0
2002,Army,Adv. Technology Dev. (6.3),R&D,2638450447.0
2002,Army,Applied Research (6.2),R&D,1084016852.0
2002,Army,Basic Research (6.1),R&D,1651584534.0
2002,Army,Operation of Government R&D Facilities,R&D,6162387.0
2002,Army,Operational Systems Dev. (6.7),R&D,260544906.0
2002,Army,System Dev. & Demonstration (6.5),R&D,822634146.0
2002,Army,Ships,Products,82810414.0
2002,DLA,Aircraft,Products,989983830.0
2002,DLA,Clothing & Subsistence,Products,5222011471.0
2002,DLA,Electronics & Communications,Products,1036123534.0
2002,DLA,Engines & Power Plants,Products,1022298968.0
2002,DLA,ERS,Services,72575441.0
2002,DLA,FRS&C,Services,269661757.0
2002,DLA,Fuels,Products,7278986083.0
2002,DLA,Ground Vehicles,Products,290078296.0
2002,DLA,ICT,Services,299258489.0
2002,DLA,Launchers & Munitions,Products,64059747.0
2002,DLA,MED,Services,684906.0
2002,DLA,Missiles & Space,Products,17975045.0
2002,DLA,Other,Products,2614543982.0
2002,DLA,PAMS,Services,346021764.0
2002,DLA,Adv. Component Dev. & Prototypes (6.4),R&D,1411137.0
2002,DLA,Applied Research (6.2),R&D,18223970.0
2002,DLA,Basic Research (6.1),R&D,141913437.0
