"","FY","Customer","Breakout","Amount","Category"
"248",2000,"Air Force","Aircraft",8216989,"Products"
"249",2000,"Air Force","PAMS",1212841706,"Services"
"250",2000,"Air Force","Other",1186979614,"Products"
"251",2000,"Air Force","Adv. Component Dev. & Prototypes (6.4)",75192169,"R&D"
"252",2000,"Air Force","System Dev. & Demonstration (6.5)",126136732,"R&D"
"253",2000,"Air Force","Ships",2332745,"Products"
"254",2000,"Air Force","ERS",1542856,"Services"
"255",2000,"Army","ICT",239275495,"Services"
"256",2000,"Army","Adv. Technology Dev. (6.3)",96684273,"R&D"
"257",2000,"Army","Applied Research (6.2)",193740384,"R&D"
"258",2000,"Army","Electronics & Communications",2049354170,"Products"
"259",2000,"Army","Engines & Power Plants",80057981,"Products"
"260",2000,"Army","Adv. Technology Dev. (6.3)",42894578,"R&D"
"261",2000,"Army","Applied Research (6.2)",10404167,"R&D"
"262",2000,"Army","ICT",18023090,"Services"
"263",2000,"DLA","Electronics & Communications",594842067,"Products"
"264",2000,"DLA","Ground Vehicles",145857905,"Products"
"265",2000,"DLA","Missiles & Space",504539,"Products"
"266",2000,"Navy","Clothing & Subsistence",149586,"Products"
"267",2000,"Navy","ICT",1974648164,"Services"
"268",2000,"Navy","Basic Research (6.1)",157095202,"R&D"
"269",2000,"Navy","Operational Systems Dev. (6.7)",377440724,"R&D"
"270",2000,"Navy","Ships",19907481,"Products"
"271",2000,"Navy","Engines & Power Plants",636574,"Products"
"272",2000,"Navy","FRS&C",75776,"Services"
"273",2000,"Navy","System Dev. & Demonstration (6.5)",167395843,"R&D"
"274",2000,"Navy","Adv. Technology Dev. (6.3)",272249175,"R&D"
"275",2000,"Navy","Applied Research (6.2)",545487213,"R&D"
"276",2000,"Navy","Launchers & Munitions",781073570,"Products"
"277",2000,"Navy","Missiles & Space",362544560,"Products"
"278",2000,"Navy","Basic Research (6.1)",10791556,"R&D"
"279",2000,"Other DoD","Engines & Power Plants",536311,"Products"
"280",2000,"Other DoD","Ships",761192,"Products"
"281",2000,"Other DoD","Other",36651596,"Products"
"282",2000,"Other DoD","ERS",22748994,"Services"
"283",2000,"Other DoD","FRS&C",385530392,"Services"
"284",2000,"Other DoD","Other",120760977,"Products"
"285",2000,"Other DoD","Engines & Power Plants",338993,"Products"
"286",2000,"Other DoD","Adv. Technology Dev. (6.3)",1571699,"R&D"
"287",2000,"Other DoD","PAMS",56273365,"Services"
"288",2000,"Other DoD","Electronics & Communications",633596,"Products"
"289",2000,"Other DoD","PAMS",2936416,"Services"
"290",2001,"Air Force","ERS",1997074202,"Services"
"291",2000,"Air Force","Clothing & Subsistence",2883372,"Products"
"292",2000,"Air Force","Fuels",749089,"Products"
"293",2000,"Air Force","Missiles & Space",-130875382,"Products"
"294",2000,"Air Force","Other",536267613,"Products"
"295",2000,"Air Force","Adv. Technology Dev. (6.3)",114298399,"R&D"
"296",2000,"Air Force","ICT",2414946817,"Services"
"297",2000,"Air Force","Launchers & Munitions",55396165,"Products"
"298",2000,"Air Force","FRS&C",4382701302,"Services"
"299",2000,"Air Force","PAMS",631387497,"Services"
"300",2000,"Air Force","Engines & Power Plants",5496965,"Products"
"301",2000,"Air Force","ERS",38241320,"Services"
"302",2000,"Air Force","ICT",72251502,"Services"
"303",2000,"Air Force","Other",6382609,"Products"
"304",2000,"Air Force","Basic Research (6.1)",63126729,"R&D"
"305",2000,"Air Force","Electronics & Communications",793885,"Products"
"306",2000,"Air Force","Ground Vehicles",49125,"Products"
"307",2000,"Army","ERS",310498740,"Services"
"308",2000,"Army","Other",323601194,"Products"
"309",2000,"Army","Operational Systems Dev. (6.7)",23509602,"R&D"
"310",2000,"Army","Aircraft",48135543,"Products"
"311",2000,"Army","Basic Research (6.1)",6317741,"R&D"
"312",2000,"Army","Adv. Component Dev. & Prototypes (6.4)",73091405,"R&D"
"313",2000,"Army","Operational Systems Dev. (6.7)",94821047,"R&D"
"314",2000,"Army","Basic Research (6.1)",696924224,"R&D"
"315",2000,"Army","System Dev. & Demonstration (6.5)",27249076,"R&D"
"316",2000,"Army","PAMS",1149472086,"Services"
"317",2000,"Army","Other",91389,"Products"
"318",2000,"Army","FRS&C",157907726,"Services"
"319",2000,"Army","Basic Research (6.1)",64510996,"R&D"
"320",2000,"DLA","ERS",3070775,"Services"
"321",2000,"DLA","Other",255754873,"Products"
"322",2000,"DLA","Aircraft",3612710,"Products"
"323",2000,"DLA","MED",761600,"Services"
"324",2000,"DLA","Missiles & Space",697877,"Products"
"325",2000,"DLA","Basic Research (6.1)",86545421,"R&D"
"326",2000,"DLA","System Dev. & Demonstration (6.5)",3056226,"R&D"
"327",2000,"DLA","PAMS",11472671,"Services"
"328",2000,"DLA","Launchers & Munitions",1793557,"Products"
"329",2000,"Navy","Aircraft",6928013499,"Products"
"330",2000,"Navy","Missiles & Space",10821240,"Products"
"331",2000,"Navy","Applied Research (6.2)",31314767,"R&D"
"332",2000,"Navy","Applied Research (6.2)",199253505,"R&D"
"333",2000,"Navy","Ground Vehicles",138286449,"Products"
"334",2000,"Navy","Engines & Power Plants",263513,"Products"
"335",2000,"Navy","ICT",4009751,"Services"
"336",2000,"Navy","Launchers & Munitions",23056319,"Products"
"337",2000,"Navy","Fuels",3594231,"Products"
"338",2000,"Navy","Other",505441443,"Products"
"339",2000,"Navy","Clothing & Subsistence",101026,"Products"
"340",2000,"Navy","Engines & Power Plants",1220350,"Products"
"341",2000,"Air Force","Ground Vehicles",66262923,"Products"
"342",2000,"Air Force","Basic Research (6.1)",47751226,"R&D"
"343",2000,"Air Force","Ground Vehicles",227753,"Products"
"344",2000,"Air Force","Basic Research (6.1)",79959183,"R&D"
"345",2000,"Air Force","Aircraft",3353039,"Products"
"346",2000,"Air Force","Basic Research (6.1)",40791827,"R&D"
